"","Overall"
"per_gop",100
"college_pct",52.9411764705882
"avg_age_of_mother",52.1008403361345
"sub_hs_pct",50.4201680672269
"avg_birth_weight_grams",47.8991596638655
"pct_black",47.8991596638655
"per_dem",47.0588235294118
"pct_age_70_74",46.218487394958
"temp_max",45.3781512605042
"temp_max_avg",45.3781512605042
